NUM_CORR_ACI;COD_LOCAL_EVENTO_ACI;NUM_TRAT_ACO_PAN;MES;AL_CAS;GRAU;TRAT;S_MAX
490010;OB2;1;201402;534;AA;C1;8
490057;OB1;1;201402;100;AS;C1;9
490058;OB1;2;201402;94;AS;C1;9
490112;OB1;1;201402;354;AA;C1;15
490137;OB2;1;201402;394;AA;C1;8
490139;OB1;1;201402;438;AA;C1;8
490149;OB1;1;201402;563;AS;F1;9
490157;OB2;2;201402;948;AA;C1;10
490166;OB1;1;201402;251;AA;C1;10
490180;OB2;1;201402;746;AA;C1;10
490205;OB2;1;201402;544;AA;C1;15
490258;OB1;1;201402;327;AA;C1;9
490261;OB1;1;201402;682;AA;C1;15
490276;OB1;1;201402;493;AA;C1;4
490285;OB2;1;201402;280;AA;C1;8
490298;OB1;1;201402;187;AS;C1;9
490305;OB2;1;201402;430;AA;C1;3
490337;OB2;1;201402;141;AS;C1;10
490350;OB1;1;201402;409;AA;C1;10
490351;OB2;1;201402;285;AA;C1;10
490378;OB2;1;201402;627;AS;F1;6
490429;OB2;;201403;0;AA;C1;9
490490;OB2;1;201403;157;AA;C1;10
490544;OB1;1;201403;589;AS;F1;6
490569;OB2;1;201403;238;AS;C1;9
490570;OB2;1;201403;396;AS;C1;9
490587;OB1;1;201403;410;AA;C1;10
490611;OB2;1;201403;84;AA;C1;9
490625;OB1;1;201403;514;AS;C1;6
490688;OB1;1;201403;338;AA;C1;15
490710;OB2;1;201403;99;AS;C1;9
490741;OB2;1;201403;596;AA;C1;20
490752;OB2;1;201403;206;AA;C1;20
490755;OB2;1;201403;550;AA;C1;15
490756;OB2;1;201403;393;AA;C1;15
490765;OB2;1;201403;486;AS;F1;9
490818;OB2;1;201403;239;AA;C1;8
490820;OB1;1;201403;499;AA;C1;10
490833;OB2;1;201403;702;AA;C1;4
490913;OB1;1;201403;146;AA;C7;20
490937;OB1;1;201403;115;AA;C1;8
490948;OB2;1;201403;418;AS;F1;4
490967;OB2;1;201403;429;AS;C1;9
490968;OB1;;201403;0;AS;C1;9
490969;OB2;1;201403;297;AS;C1;9
490986;OB2;1;201403;415;AA;C1;8
491002;OB2;1;201403;362;AS;F1;9
491007;OB2;1;201403;201;AS;F8;6
491011;OB1;1;201403;187;AA;C1;8
491050;OB2;1;201403;304;AA;C1;20
491074;OB1;1;201404;46;AA;C1;15
491084;OB1;2;201404;128;AA;C1;20
491087;OB2;1;201404;951;AA;C1;20
491112;OB1;1;201404;66;AS;C1;10
491140;OB1;1;201404;245;AS;C1;9
491141;OB2;2;201404;81;AS;C1;9
491143;OB2;1;201404;64;AS;C1;10
491155;OB1;1;201404;133;AA;C1;15
491160;OB1;1;201404;309;AS;F1;3
491189;OB1;1;201404;137;AA;C1;8
491236;OB1;1;201404;196;AA;C1;8
491254;OB2;1;201404;181;AA;C1;8
491262;OB1;1;201404;16;AC;C1;15
491275;OB1;1;201404;828;AA;F1;4
491277;OB2;1;201404;585;AA;C1;9
491294;OB2;;201404;0;AS;C1;10
491306;OB1;1;201404;210;AA;C1;10
491344;OB1;1;201404;229;AS;F1;6
491352;OB2;1;201404;676;AA;C1;8
491355;OB1;1;201404;656;AA;C1;8
491361;OB1;1;201404;272;AA;C1;15
491362;OB2;1;201404;123;AA;C1;15
491368;OB2;1;201404;158;AS;C1;10
491372;OB2;1;201404;1015;AA;C1;6
491453;OB1;1;201404;399;AS;F1;9
491480;OB2;1;201404;194;AA;C1;9
491484;OB2;1;201404;164;AA;C1;9
491493;OB2;1;201404;99;AS;C1;4
491511;OB2;1;201404;393;AA;C1;8
491512;OB2;1;201404;218;AA;C1;8
491589;OB2;1;201404;527;AA;C1;9
491636;OB2;1;201404;343;AA;C1;8
491669;OB1;1;201404;866;AA;C1;10
491706;OB2;2;201404;127;AS;C1;9
491707;OB1;1;201404;853;AS;C1;9
491719;OB1;1;201405;550;AA;C1;6
491745;OB2;1;201405;342;AS;F1;9
491813;OB1;1;201405;1173;AA;F1;4
491824;OB1;1;201405;585;AA;C8;20
491825;OB2;1;201405;68;AA;C8;6
491833;OB2;1;201405;380;AA;C1;15
491875;OB2;1;201405;440;AA;C8;8
491883;OB2;1;201405;97;AA;C1;10
491928;OB2;1;201405;284;AS;F1;9
491940;OB2;2;201405;276;AA;C1;9
491941;OB1;1;201405;737;AA;C1;9
491981;OB1;1;201405;650;AA;C1;15
491998;OB1;1;201405;286;AS;C1;9
492010;OB1;1;201405;351;AA;A2;15
492014;OB1;1;201405;251;AS;C7;9
492017;OB2;1;201405;15;AS;C1;9
492027;OB1;1;201405;298;AS;C1;10
492149;OB2;1;201405;438;AA;C1;15
492168;OB2;1;201405;644;AS;F1;4
492189;OB1;1;201405;246;AA;C1;9
492213;OB1;1;201405;80;AS;C1;8
492251;OB2;1;201405;268;AA;C1;20
492318;OB1;1;201405;189;AA;C1;8
492345;OB1;1;201405;461;AS;F1;9
492356;OB1;1;201405;592;AA;C1;8
492381;OB2;1;201405;346;AA;C1;20
492391;OB1;1;201406;472;AA;C1;15
492396;OB1;1;201406;1073;AA;F8;4
492399;OB2;1;201406;356;AA;C1;10
492405;OB1;1;201406;89;AA;C1;8
492427;OB2;1;201406;220;AS;F1;9
492428;OB1;1;201406;142;AS;C1;9
492434;OB2;1;201406;77;AS;C1;7
492475;OB1;1;201406;122;AA;C1;15
492521;OB1;1;201406;459;AA;C1;8
492531;OB2;1;201406;233;AA;C1;20
492537;OB1;1;201406;593;AA;C1;20
492543;OB2;1;201406;196;AA;C1;8
492561;OB2;1;201406;523;AS;F1;3
492644;OB2;1;201406;528;AA;C1;3
492646;OB2;1;201406;564;AA;C1;3
492654;OB2;1;201406;739;AS;F1;3
492656;OB2;1;201406;350;AS;C1;9
492675;OB1;1;201406;647;AA;C1;20
492684;OB2;1;201406;229;AA;C1;20
492705;OB2;1;201406;417;AA;C8;4
492712;OB2;1;201406;366;AA;C1;9
492714;OB2;1;201406;373;AA;C1;8
492793;OB1;1;201406;145;AA;C1;10
492812;OB2;1;201406;305;AS;C1;9
492828;OB2;1;201406;544;AA;C1;8
492835;OB1;1;201406;451;AA;C1;15
492844;OB2;1;201406;348;AS;F1;2
492850;OB2;1;201406;170;AA;C1;20
492851;OB2;1;201406;643;AS;F1;2
492864;OB1;1;201406;279;AA;C1;6
492869;OB1;1;201406;175;AS;C1;9
492879;OB2;1;201407;565;AA;C1;10
492882;OB2;1;201407;439;AA;C1;10
492886;OB2;1;201407;498;AS;C1;3
492891;OB2;;201407;0;AS;C7;9
492908;OB1;1;201407;231;AS;C1;8
492923;OB2;1;201407;516;AS;C1;10
492943;OB2;1;201407;617;AS;F8;1
492983;OB1;1;201407;170;AA;C1;8
493014;OB1;1;201407;140;AA;C1;15
493030;OB2;1;201407;81;AC;C1;15
493098;OB1;2;201407;351;AS;F1;8
493174;OB1;1;201407;179;AA;C1;10
493223;OB1;1;201407;415;AA;C1;10
493303;OB2;1;201407;660;AA;C1;10
493305;OB2;1;201407;420;AA;C1;10
493332;OB1;;201407;0;AA;C1;20
493342;OB1;1;201407;370;AA;C1;10
493405;OB1;1;201407;408;AS;F1;9
493451;OB2;1;201408;221;AS;C1;9
493512;OB1;1;201408;309;AA;C1;15
493526;OB1;1;201408;252;AA;C1;10
493558;OB1;1;201408;613;AA;C1;8
493578;OB1;1;201408;82;AA;C1;9
493580;OB2;1;201408;121;AA;C1;9
493619;OB1;1;201408;587;AS;F1;4
493668;OB2;1;201408;419;AA;F8;4
493681;OB2;1;201408;519;AS;F8;1
493683;OB1;1;201408;606;AA;C1;20
493712;OB2;1;201408;154;AS;C1;9
493715;OB2;1;201408;561;AS;C1;9
493718;OB2;1;201408;303;AS;C1;9
493721;OB1;1;201408;21;AA;C8;6
493740;OB2;1;201408;351;AA;C1;10
493744;OB1;1;201408;149;AA;C1;10
493759;OB1;1;201408;257;AA;C1;15
493786;OB2;1;201408;438;AS;F1;8
493798;OB1;1;201408;472;AA;C1;15
493823;OB2;1;201408;251;AA;C1;9
493839;OB2;1;201408;324;AA;C1;10
493840;OB2;1;201408;521;AA;C1;10
493841;OB1;1;201408;178;AA;C1;10
493844;OB1;1;201408;742;AS;F8;1
493869;OB1;1;201408;707;AS;F8;1
493870;OB1;1;201408;781;AS;F8;1
493871;OB1;1;201408;754;AS;F8;1
493882;OB1;1;201408;475;AS;F1;6
493889;OB1;1;201408;392;AA;C1;15
493907;OB2;1;201408;421;AA;C1;6
493920;OB2;1;201408;603;AS;F1;2
493937;OB2;1;201408;266;AA;C1;15
493963;OB2;1;201408;290;AS;F1;6
493989;OB1;1;201408;430;AA;C1;20
493993;OB1;1;201408;393;AS;F1;3
493998;OB1;1;201408;219;AA;C1;10
493999;OB1;2;201408;240;AA;C1;10
494002;OB1;1;201408;229;AA;C1;10
494015;OB1;1;201408;194;AS;C1;8
494029;OB1;1;201408;262;AA;C1;8
494047;OB1;1;201408;80;AS;F1;9
494053;OB2;1;201408;252;AS;F1;9
494057;OB1;1;201408;166;AS;C1;8
494058;OB1;1;201408;778;AS;C1;4
494060;OB1;2;201408;257;AS;C1;4
494063;OB2;2;201408;909;AA;C1;10
494080;OB2;1;201408;1004;AS;F1;2
494081;OB2;1;201408;960;AS;F1;4
590071;OB1;1;201309;281;AA;C1;10
590075;OB1;1;201309;210;AA;C1;20
590090;OB1;;201309;0;AA;C1;9
590094;OB2;1;201309;275;AA;C1;9
590172;OB2;1;201309;544;AS;C1;3
590184;OB2;1;201309;262;AA;C1;10
590247;OB1;1;201309;591;AS;F1;9
590262;OB2;1;201309;131;AA;C1;20
590265;OB1;1;201309;346;AS;C1;9
590268;OB1;1;201309;106;AS;C1;9
590325;OB1;1;201309;260;AA;C1;9
590326;OB2;1;201309;197;AA;C1;9
590366;OB2;1;201309;233;AA;C1;20
