NUM_CORR_ACI;SIGLA_ACO;TEMP_INTER_SUBLANCA_LD;P;PS_TA;fam_TA
500814;MOCBAS016000136099;1570;12.09;2100;media
500460;9GJKAS003000120099;1600;4.22;0;min
497417;9GJKAS003000120099;1619;3.955;0;min
498391;ZSMAAS008000157099;1540;7.05;2100;media
496720;24JDAA000100010099;1532;8.47;2000;media
502117;ZMREAS008000160099;1575;7.92;0;min
500554;PLZ1AS000150105099;1644;47.43;0;min
498834;WRCBAA010000150099;1649;12.36;2100;media
502438;WOMAAS008000150099;1693;14.62;0;min
500984;LQC1AA006000066099;1590;14.14;2100;media
497365;KHCEAA0160000360X9;1634;15.41;0;min
500400;DGC2AA003000021099;1616;19.735;2000;media
497251;GWCDAA008000086099;1705;15.46;2100;media
497631;TGCDAA008000061099;1560;9.53;8000;max
498284;TNZ2AA000180056099;1583;12.28;7900;max
497803;WSMEAS012000090099;1566;7.995;2100;media
496979;YRCEAA009000125099;1583;8.1;2100;media
497757;AACHAA0120000420X9;1587;18.26;7900;max
500585;DDC1AA0120000860X9;1613;17.795;0;min
498734;WOMAAS008000150099;1623;8.715;2100;media
502885;LICDAA010000096099;1625;10.17;2000;media
502271;WOMAAS008000150099;1625;12.375;0;min
501018;VCBCAA007000177099;1557;11.29;0;min
502471;MBA2AA000150010099;1628;13.79;0;min
502778;AACDAA0110001510X9;1618;20.315;1900;media
500940;JYCHAS0140000660X9;1621;12.71;0;min
502854;WOMAAS008000150099;1636;8.945;0;min
498354;AACDAA0110001510X9;1587;12.59;2100;media
500769;9GJKAS003000120099;1577;4.115;0;min
500807;TNZ2AA000180056099;1566;19.605;0;min
498844;BECCAS0290001310X9;1539;14.875;2000;media
497165;VCBCAA007000177099;1581;9.97;0;min
502927;GXCCAS016000145099;1637;32.01;2000;media
498630;WOMAAS008000150099;1595;7.03;2000;media
502198;WOMAAS008000150099;1586;10.16;1900;media
501980;DVCEAS0140002100X9;1668;29.42;1900;media
498604;WOMAAS008000150099;1622;10.98;0;min
496542;DDC1AA0120000860X9;1578;15.555;8100;max
501998;GXCCAS018000145099;1572;14.765;2000;media
497783;24JDAA000100010099;1605;15.04;2000;media
498460;KHCEAA0160000360X9;1590;13.845;2100;media
497996;9GJKAS003000120099;1565;5.34;0;min
502969;VNBCAA012000180099;1620;13.735;2100;media
498297;GJCAAS013000100099;1530;10.005;0;min
497957;AACDAA0110001510X9;1567;14.2;2100;media
501051;FTCBAS0210000960X9;1664;15.06;0;min
498678;LQC1AA006000066099;1609;12.67;0;min
498115;WOMAAS008000150099;1609;10.325;2100;media
502226;GXCHAS018000145099;1583;28.75;0;min
502950;EWZBAA006000120099;1626;11.895;1900;media
502655;EWZBAA006000120099;1588;13.08;1900;media
497019;JYCHAS0160001260X9;1636;11.72;0;min
498345;ZSMAAS008000157099;1556;9.465;0;min
496453;ZICAAS018000145099;1560;17.19;2100;media
496567;DDC1AA0120000860X9;1600;11.505;0;min
496669;YUCBAA009000153099;1609;14.985;0;min
500541;TGCHAA008000061099;1616;21.765;7900;max
496961;LQC1AA006000066099;1578;9.785;0;min
496976;YRCCAA009000125099;1571;12.81;0;min
501083;MBA2AA000150010099;1549;18.33;1900;media
502947;WOMAAS008000150099;1579;10.57;0;min
497621;24JDAA000100010099;1631;11.135;0;min
498875;TGCDAA008000061099;1626;20.975;2000;media
501025;MBA2AA000150010099;1559;7.125;0;min
502412;WOMAAS008000150099;1557;7.525;0;min
500832;LQC1AA006000066099;1639;14.685;8000;max
497017;WCMEAS027000125099;1647;16.1;0;min
