"NUM_CORR_ACI";"COD_LOCAL_EVENTO_ACI";"NUM_TRAT_ACO_PAN";"MES";"AL_CAS";"GRAU";"TRAT";"S_MAX";"family"
"435";592317;"OB2";1;201312;628;"AA";"C1";10;"AA-C1-10"
"436";592328;"OB1";1;201312;219;"AA";"C1";10;"AA-C1-10"
"437";592337;"OB2";1;201312;375;"AA";"C1";10;"AA-C1-10"
"438";592438;"OB2";1;201312;226;"AA";"C1";10;"AA-C1-10"
"439";592442;"OB2";1;201312;402;"AA";"C1";10;"AA-C1-10"
"440";592444;"OB2";1;201312;166;"AA";"C1";10;"AA-C1-10"
"447";592537;"OB2";1;201312;356;"AA";"C1";10;"AA-C1-10"
"448";592539;"OB2";1;201312;78;"AA";"C1";10;"AA-C1-10"
"449";592543;"OB2";1;201312;61;"AA";"C1";10;"AA-C1-10"
"452";592647;"OB2";1;201312;227;"AA";"C1";10;"AA-C1-10"
"453";592649;"OB1";1;201312;81;"AA";"C1";10;"AA-C1-10"
"468";593002;"OB1";2;201401;357;"AA";"C1";10;"AA-C1-10"
"472";593059;"OB2";1;201401;370;"AA";"C1";10;"AA-C1-10"
"473";593061;"OB1";1;201401;194;"AA";"C1";10;"AA-C1-10"
"478";593155;"OB2";1;201401;215;"AA";"C1";10;"AA-C1-10"
"494";593423;"OB1";1;201401;436;"AA";"C1";10;"AA-C1-10"
"495";593424;"OB2";1;201401;307;"AA";"C1";10;"AA-C1-10"
"496";593425;"OB2";1;201401;504;"AA";"C1";10;"AA-C1-10"
"499";593515;"OB2";1;201402;149;"AA";"C1";10;"AA-C1-10"
"514";593743;"OB2";2;201402;390;"AA";"C1";10;"AA-C1-10"
"533";594494;"OB2";1;201403;249;"AA";"C1";10;"AA-C1-10"
"543";594749;"OB1";1;201404;160;"AA";"C1";10;"AA-C1-10"
"545";594783;"OB1";1;201404;464;"AA";"C1";10;"AA-C1-10"
"549";594835;"OB1";1;201404;134;"AA";"C1";10;"AA-C1-10"
"552";594959;"OB2";1;201404;416;"AA";"C1";10;"AA-C1-10"
"553";594961;"OB1";1;201404;87;"AA";"C1";10;"AA-C1-10"
"563";595171;"OB2";1;201404;506;"AA";"C1";10;"AA-C1-10"
"577";595639;"OB1";1;201405;200;"AA";"C1";10;"AA-C1-10"
"578";595665;"OB2";1;201405;238;"AA";"C1";10;"AA-C1-10"
"579";595670;"OB2";1;201405;120;"AA";"C1";10;"AA-C1-10"
"580";595671;"OB2";1;201405;230;"AA";"C1";10;"AA-C1-10"
"581";595672;"OB1";1;201405;297;"AA";"C1";10;"AA-C1-10"
"582";595673;"OB1";1;201405;282;"AA";"C1";10;"AA-C1-10"
"583";595701;"OB2";1;201405;610;"AA";"C1";10;"AA-C1-10"
"584";595706;"OB2";1;201405;166;"AA";"C1";10;"AA-C1-10"
"589";595804;"OB2";1;201405;393;"AA";"C1";10;"AA-C1-10"
"590";595807;"OB2";1;201405;30;"AA";"C1";10;"AA-C1-10"
"597";596026;"OB1";1;201405;543;"AA";"C1";10;"AA-C1-10"
"602";596151;"OB1";1;201406;441;"AA";"C1";10;"AA-C1-10"
"606";596242;"OB2";1;201406;337;"AA";"C1";10;"AA-C1-10"
"611";596277;"OB2";1;201406;553;"AA";"C1";10;"AA-C1-10"
"612";596343;"OB1";1;201406;332;"AA";"C1";10;"AA-C1-10"
"624";596642;"OB2";1;201406;354;"AA";"C1";10;"AA-C1-10"
"625";596643;"OB1";1;201406;139;"AA";"C1";10;"AA-C1-10"
"635";596813;"OB1";1;201407;302;"AA";"C1";10;"AA-C1-10"
"636";596853;"OB2";1;201407;433;"AA";"C1";10;"AA-C1-10"
"645";597004;"OB1";2;201407;660;"AA";"C1";10;"AA-C1-10"
"651";597097;"OB2";1;201407;693;"AA";"C1";10;"AA-C1-10"
"653";597123;"OB1";1;201407;414;"AA";"C1";10;"AA-C1-10"
"654";597204;"OB2";1;201407;317;"AA";"C1";10;"AA-C1-10"
"657";597256;"OB2";1;201407;356;"AA";"C1";10;"AA-C1-10"
"658";597289;"OB2";1;201407;219;"AA";"C1";10;"AA-C1-10"
"667";597408;"OB2";1;201407;187;"AA";"C1";10;"AA-C1-10"
"670";597481;"OB1";1;201408;226;"AA";"C1";10;"AA-C1-10"
"671";597482;"OB2";1;201408;104;"AA";"C1";10;"AA-C1-10"
"680";597641;"OB2";1;201408;417;"AA";"C1";10;"AA-C1-10"
"696";597870;"OB2";1;201408;121;"AA";"C1";10;"AA-C1-10"
"709";486330;"OB2";1;201309;85;"AA";"C1";10;"AA-C1-10"
"711";486379;"OB1";1;201309;316;"AA";"C1";10;"AA-C1-10"
"712";486382;"OB2";1;201309;265;"AA";"C1";10;"AA-C1-10"
"719";486522;"OB1";1;201309;352;"AA";"C1";10;"AA-C1-10"
"724";486697;"OB2";1;201309;580;"AA";"C1";10;"AA-C1-10"
"728";486734;"OB2";1;201309;216;"AA";"C1";10;"AA-C1-10"
"733";486882;"OB1";1;201309;498;"AA";"C1";10;"AA-C1-10"
"736";486963;"OB2";1;201310;502;"AA";"C1";10;"AA-C1-10"
"737";487054;"OB1";1;201310;219;"AA";"C1";10;"AA-C1-10"
"740";487155;"OB2";1;201310;563;"AA";"C1";10;"AA-C1-10"
"749";487341;"OB2";1;201310;243;"AA";"C1";10;"AA-C1-10"
"753";487420;"OB2";1;201310;202;"AA";"C1";10;"AA-C1-10"
"756";487568;"OB2";1;201310;742;"AA";"C1";10;"AA-C1-10"
"759";487576;"OB2";1;201310;251;"AA";"C1";10;"AA-C1-10"
"769";487975;"OB1";1;201311;604;"AA";"C1";10;"AA-C1-10"
"773";488077;"OB1";1;201311;255;"AA";"C1";10;"AA-C1-10"
"775";488156;"OB2";1;201311;186;"AA";"C1";10;"AA-C1-10"
"777";488179;"OB1";1;201311;366;"AA";"C1";10;"AA-C1-10"
"788";488482;"OB2";1;201312;547;"AA";"C1";10;"AA-C1-10"
"789";488528;"OB2";1;201312;61;"AA";"C1";10;"AA-C1-10"
"791";488562;"OB1";1;201312;405;"AA";"C1";10;"AA-C1-10"
"796";488732;"OB1";1;201312;127;"AA";"C1";10;"AA-C1-10"
"808";488957;"OB1";1;201401;440;"AA";"C1";10;"AA-C1-10"
"809";488960;"OB2";1;201401;181;"AA";"C1";10;"AA-C1-10"
"812";489023;"OB2";1;201401;569;"AA";"C1";10;"AA-C1-10"
"815";489103;"OB1";1;201401;267;"AA";"C1";10;"AA-C1-10"
"825";489378;"OB2";1;201401;257;"AA";"C1";10;"AA-C1-10"
"826";489380;"OB1";1;201401;287;"AA";"C1";10;"AA-C1-10"
"827";489393;"OB1";1;201401;649;"AA";"C1";10;"AA-C1-10"
"828";489395;"OB1";1;201401;219;"AA";"C1";10;"AA-C1-10"
