"NUM_CORR_ACI";"COD_LOCAL_EVENTO_ACI";"NUM_TRAT_ACO_PAN";"MES";"AL_CAS";"GRAU";"TRAT";"S_MAX";"family"
"5252";492072;"OB1";1;201405;126;"AA";"C1";10;"AA-C1-10"
"5253";492127;"OB1";1;201405;363;"AA";"C1";10;"AA-C1-10"
"5263";492360;"OB1";1;201405;490;"AA";"C1";10;"AA-C1-10"
"5277";492595;"OB2";1;201406;193;"AA";"C1";10;"AA-C1-10"
"5289";493022;"OB2";1;201407;200;"AA";"C1";10;"AA-C1-10"
"5292";493052;"OB1";1;201407;608;"AA";"C1";10;"AA-C1-10"
"5300";493338;"OB1";1;201407;350;"AA";"C1";10;"AA-C1-10"
"5305";493467;"OB2";1;201408;129;"AA";"C1";10;"AA-C1-10"
"5308";493478;"OB2";1;201408;571;"AA";"C1";10;"AA-C1-10"
"5309";493480;"OB1";1;201408;205;"AA";"C1";10;"AA-C1-10"
"5312";493511;"OB1";1;201408;419;"AA";"C1";10;"AA-C1-10"
"5314";493517;"OB1";1;201408;458;"AA";"C1";10;"AA-C1-10"
"5315";493518;"OB1";1;201408;202;"AA";"C1";10;"AA-C1-10"
"5317";493573;"OB2";1;201408;443;"AA";"C1";10;"AA-C1-10"
"5323";493654;"OB2";1;201408;439;"AA";"C1";10;"AA-C1-10"
"5331";493997;"OB1";1;201408;311;"AA";"C1";10;"AA-C1-10"
"5337";494068;"OB1";1;201408;274;"AA";"C1";10;"AA-C1-10"
"5338";494071;"OB1";1;201408;258;"AA";"C1";10;"AA-C1-10"
"5339";494074;"OB1";1;201408;103;"AA";"C1";10;"AA-C1-10"
"5344";590073;"OB2";1;201309;344;"AA";"C1";10;"AA-C1-10"
"5348";590185;"OB2";1;201309;409;"AA";"C1";10;"AA-C1-10"
"5374";590538;"OB2";1;201309;278;"AA";"C1";10;"AA-C1-10"
"5380";590663;"OB2";1;201309;226;"AA";"C1";10;"AA-C1-10"
"5388";590966;"OB1";1;201310;408;"AA";"C1";10;"AA-C1-10"
"5393";591183;"OB2";NA;201310;0;"AA";"C1";10;"AA-C1-10"
"5399";591282;"OB2";1;201310;537;"AA";"C1";10;"AA-C1-10"
"5418";592019;"OB1";1;201311;210;"AA";"C1";10;"AA-C1-10"
"5421";592083;"OB1";1;201311;680;"AA";"C1";10;"AA-C1-10"
"5432";592262;"OB2";1;201312;108;"AA";"C1";10;"AA-C1-10"
"5433";592265;"OB1";1;201312;125;"AA";"C1";10;"AA-C1-10"
"5434";592283;"OB1";1;201312;252;"AA";"C1";10;"AA-C1-10"
"5435";592291;"OB2";1;201312;299;"AA";"C1";10;"AA-C1-10"
"5436";592318;"OB1";1;201312;234;"AA";"C1";10;"AA-C1-10"
"5437";592320;"OB2";1;201312;71;"AA";"C1";10;"AA-C1-10"
"5442";592437;"OB1";1;201312;465;"AA";"C1";10;"AA-C1-10"
"5443";592439;"OB1";1;201312;252;"AA";"C1";10;"AA-C1-10"
"5450";592541;"OB2";1;201312;326;"AA";"C1";10;"AA-C1-10"
"5462";592953;"OB1";1;201401;188;"AA";"C1";10;"AA-C1-10"
"5464";592968;"OB1";1;201401;654;"AA";"C1";10;"AA-C1-10"
"5476";593102;"OB1";1;201401;102;"AA";"C1";10;"AA-C1-10"
"5479";593153;"OB2";1;201401;676;"AA";"C1";10;"AA-C1-10"
"5480";593159;"OB2";1;201401;191;"AA";"C1";10;"AA-C1-10"
"5483";593285;"OB2";1;201401;359;"AA";"C1";10;"AA-C1-10"
"5486";593390;"OB2";1;201401;401;"AA";"C1";10;"AA-C1-10"
"5489";593428;"OB1";1;201401;286;"AA";"C1";10;"AA-C1-10"
"5497";593552;"OB1";1;201402;152;"AA";"C1";10;"AA-C1-10"
"5506";593665;"OB1";1;201402;99;"AA";"C1";10;"AA-C1-10"
"5508";593746;"OB2";1;201402;99;"AA";"C1";10;"AA-C1-10"
"5511";593828;"OB1";1;201402;199;"AA";"C1";10;"AA-C1-10"
"5516";593922;"OB2";1;201402;50;"AA";"C1";10;"AA-C1-10"
"5518";593935;"OB1";1;201402;116;"AA";"C1";10;"AA-C1-10"
"5522";594155;"OB2";1;201403;438;"AA";"C1";10;"AA-C1-10"
"5530";594493;"OB2";1;201403;421;"AA";"C1";10;"AA-C1-10"
"5536";594638;"OB1";1;201403;208;"AA";"C1";10;"AA-C1-10"
"5537";594642;"OB1";1;201403;362;"AA";"C1";10;"AA-C1-10"
"5541";594681;"OB2";1;201403;118;"AA";"C1";10;"AA-C1-10"
"5552";594881;"OB2";1;201404;142;"AA";"C1";10;"AA-C1-10"
"5554";594956;"OB1";1;201404;454;"AA";"C1";10;"AA-C1-10"
"5555";594958;"OB1";1;201404;389;"AA";"C1";10;"AA-C1-10"
"5570";595308;"OB1";1;201404;324;"AA";"C1";10;"AA-C1-10"
"5584";595588;"OB1";1;201405;429;"AA";"C1";10;"AA-C1-10"
"5585";595598;"OB2";1;201405;220;"AA";"C1";10;"AA-C1-10"
"5608";596158;"OB1";1;201406;129;"AA";"C1";10;"AA-C1-10"
"5609";596159;"OB2";1;201406;264;"AA";"C1";10;"AA-C1-10"
"5617";596438;"OB2";1;201406;192;"AA";"C1";10;"AA-C1-10"
"5626";596645;"OB2";1;201406;377;"AA";"C1";10;"AA-C1-10"
"5627";596646;"OB1";1;201406;329;"AA";"C1";10;"AA-C1-10"
"5631";596673;"OB2";1;201406;528;"AA";"C1";10;"AA-C1-10"
"5632";596691;"OB2";1;201406;451;"AA";"C1";10;"AA-C1-10"
"5638";596794;"OB1";1;201407;494;"AA";"C1";10;"AA-C1-10"
"5641";596848;"OB1";1;201407;483;"AA";"C1";10;"AA-C1-10"
"5642";596856;"OB1";1;201407;131;"AA";"C1";10;"AA-C1-10"
"5649";597002;"OB2";1;201407;568;"AA";"C1";10;"AA-C1-10"
"5653";597093;"OB1";1;201407;286;"AA";"C1";10;"AA-C1-10"
"5657";597130;"OB2";1;201407;267;"AA";"C1";10;"AA-C1-10"
"5658";597205;"OB2";1;201407;324;"AA";"C1";10;"AA-C1-10"
"5659";597209;"OB2";1;201407;282;"AA";"C1";10;"AA-C1-10"
"5669";597430;"OB1";2;201407;214;"AA";"C1";10;"AA-C1-10"
"5671";597492;"OB1";1;201408;501;"AA";"C1";10;"AA-C1-10"
"5672";597500;"OB1";1;201408;471;"AA";"C1";10;"AA-C1-10"
"5674";597556;"OB2";1;201408;456;"AA";"C1";10;"AA-C1-10"
"5693";597872;"OB1";1;201408;354;"AA";"C1";10;"AA-C1-10"
"5698";597946;"OB2";1;201408;181;"AA";"C1";10;"AA-C1-10"
"5701";597966;"OB1";1;201408;472;"AA";"C1";10;"AA-C1-10"
"5704";598008;"OB1";1;201408;202;"AA";"C1";10;"AA-C1-10"
"16";486602;"OB2";1;201309;362;"AA";"C1";15;"AA-C1-15"
"23";486771;"OB2";1;201309;37;"AA";"C1";15;"AA-C1-15"
"25";486786;"OB2";1;201309;600;"AA";"C1";15;"AA-C1-15"
"55";487769;"OB1";1;201311;434;"AA";"C1";15;"AA-C1-15"
"56";487771;"OB1";1;201311;543;"AA";"C1";15;"AA-C1-15"
"100";488817;"OB2";1;201312;479;"AA";"C1";15;"AA-C1-15"
"109";489035;"OB1";1;201401;576;"AA";"C1";15;"AA-C1-15"
"110";489043;"OB2";1;201401;496;"AA";"C1";15;"AA-C1-15"
"127";489421;"OB1";1;201401;317;"AA";"C1";15;"AA-C1-15"
"134";489499;"OB1";1;201401;141;"AA";"C1";15;"AA-C1-15"
"146";490112;"OB1";1;201402;354;"AA";"C1";15;"AA-C1-15"
"153";490205;"OB2";1;201402;544;"AA";"C1";15;"AA-C1-15"
"155";490261;"OB1";1;201402;682;"AA";"C1";15;"AA-C1-15"
"172";490688;"OB1";1;201403;338;"AA";"C1";15;"AA-C1-15"
"176";490755;"OB2";1;201403;550;"AA";"C1";15;"AA-C1-15"
"177";490756;"OB2";1;201403;393;"AA";"C1";15;"AA-C1-15"
"193";491074;"OB1";1;201404;46;"AA";"C1";15;"AA-C1-15"
"200";491155;"OB1";1;201404;133;"AA";"C1";15;"AA-C1-15"
"213";491361;"OB1";1;201404;272;"AA";"C1";15;"AA-C1-15"
"214";491362;"OB2";1;201404;123;"AA";"C1";15;"AA-C1-15"
"233";491833;"OB2";1;201405;380;"AA";"C1";15;"AA-C1-15"
"239";491981;"OB1";1;201405;650;"AA";"C1";15;"AA-C1-15"
"245";492149;"OB2";1;201405;438;"AA";"C1";15;"AA-C1-15"
"254";492391;"OB1";1;201406;472;"AA";"C1";15;"AA-C1-15"
"261";492475;"OB1";1;201406;122;"AA";"C1";15;"AA-C1-15"
"279";492835;"OB1";1;201406;451;"AA";"C1";15;"AA-C1-15"
"293";493014;"OB1";1;201407;140;"AA";"C1";15;"AA-C1-15"
"304";493512;"OB1";1;201408;309;"AA";"C1";15;"AA-C1-15"
"319";493759;"OB1";1;201408;257;"AA";"C1";15;"AA-C1-15"
"321";493798;"OB1";1;201408;472;"AA";"C1";15;"AA-C1-15"
"331";493889;"OB1";1;201408;392;"AA";"C1";15;"AA-C1-15"
"334";493937;"OB2";1;201408;266;"AA";"C1";15;"AA-C1-15"
"367";590412;"OB1";1;201309;19;"AA";"C1";15;"AA-C1-15"
"370";590497;"OB1";1;201309;503;"AA";"C1";15;"AA-C1-15"
"382";590835;"OB2";1;201310;228;"AA";"C1";15;"AA-C1-15"
"399";591605;"OB1";1;201311;403;"AA";"C1";15;"AA-C1-15"
"400";591606;"OB1";1;201311;580;"AA";"C1";15;"AA-C1-15"
"401";591619;"OB1";NA;201311;0;"AA";"C1";15;"AA-C1-15"
"415";591898;"OB2";1;201311;253;"AA";"C1";15;"AA-C1-15"
"442";592472;"OB2";1;201312;558;"AA";"C1";15;"AA-C1-15"
"443";592476;"OB2";1;201312;188;"AA";"C1";15;"AA-C1-15"
"444";592483;"OB1";1;201312;205;"AA";"C1";15;"AA-C1-15"
"450";592601;"OB2";1;201312;295;"AA";"C1";15;"AA-C1-15"
"458";592808;"OB1";1;201312;478;"AA";"C1";15;"AA-C1-15"
"520";593919;"OB1";1;201402;236;"AA";"C1";15;"AA-C1-15"
"586";595758;"OB1";1;201405;705;"AA";"C1";15;"AA-C1-15"
"601";596121;"OB1";1;201406;67;"AA";"C1";15;"AA-C1-15"
"639";596916;"OB2";1;201407;137;"AA";"C1";15;"AA-C1-15"
"663";597351;"OB1";1;201407;462;"AA";"C1";15;"AA-C1-15"
"664";597367;"OB1";1;201407;206;"AA";"C1";15;"AA-C1-15"
"665";597371;"OB2";1;201407;400;"AA";"C1";15;"AA-C1-15"
"673";597530;"OB1";1;201408;313;"AA";"C1";15;"AA-C1-15"
"678";597616;"OB2";1;201408;563;"AA";"C1";15;"AA-C1-15"
"689";597762;"OB2";1;201408;316;"AA";"C1";15;"AA-C1-15"
"690";597767;"OB1";1;201408;331;"AA";"C1";15;"AA-C1-15"
"698";597923;"OB2";1;201408;599;"AA";"C1";15;"AA-C1-15"
"723";486685;"OB1";1;201309;325;"AA";"C1";15;"AA-C1-15"
"725";486702;"OB2";1;201309;414;"AA";"C1";15;"AA-C1-15"
"774";488099;"OB2";1;201311;461;"AA";"C1";15;"AA-C1-15"
"802";488869;"OB2";1;201312;477;"AA";"C1";15;"AA-C1-15"
"817";489229;"OB2";1;201401;368;"AA";"C1";15;"AA-C1-15"
"818";489239;"OB1";1;201401;522;"AA";"C1";15;"AA-C1-15"
"854";490110;"OB1";1;201402;767;"AA";"C1";15;"AA-C1-15"
"874";490512;"OB1";1;201403;634;"AA";"C1";15;"AA-C1-15"
"885";490754;"OB1";1;201403;644;"AA";"C1";15;"AA-C1-15"
"886";490758;"OB1";1;201403;634;"AA";"C1";15;"AA-C1-15"
"914";491407;"OB1";1;201404;645;"AA";"C1";15;"AA-C1-15"
"915";491410;"OB1";1;201404;242;"AA";"C1";15;"AA-C1-15"
"952";492411;"OB1";1;201406;135;"AA";"C1";15;"AA-C1-15"
"956";492463;"OB1";1;201406;264;"AA";"C1";15;"AA-C1-15"
"957";492471;"OB2";1;201406;338;"AA";"C1";15;"AA-C1-15"
"960";492508;"OB1";1;201406;491;"AA";"C1";15;"AA-C1-15"
"974";492832;"OB2";1;201406;401;"AA";"C1";15;"AA-C1-15"
"980";493024;"OB1";1;201407;599;"AA";"C1";15;"AA-C1-15"
"993";493248;"OB2";1;201407;292;"AA";"C1";15;"AA-C1-15"
"1006";493535;"OB2";1;201408;490;"AA";"C1";15;"AA-C1-15"
"1010";493615;"OB2";1;201408;484;"AA";"C1";15;"AA-C1-15"
"1011";493628;"OB1";1;201408;331;"AA";"C1";15;"AA-C1-15"
"1012";493636;"OB2";1;201408;424;"AA";"C1";15;"AA-C1-15"
"1024";493980;"OB2";1;201408;567;"AA";"C1";15;"AA-C1-15"
"1028";494018;"OB2";1;201408;335;"AA";"C1";15;"AA-C1-15"
"1054";590407;"OB2";1;201309;325;"AA";"C1";15;"AA-C1-15"
"1055";590413;"OB2";1;201309;43;"AA";"C1";15;"AA-C1-15"
"1061";590500;"OB1";1;201309;255;"AA";"C1";15;"AA-C1-15"
"1064";590587;"OB1";1;201309;293;"AA";"C1";15;"AA-C1-15"
"1079";590841;"OB2";1;201310;741;"AA";"C1";15;"AA-C1-15"
"1122";591936;"OB2";1;201311;113;"AA";"C1";15;"AA-C1-15"
"1153";592484;"OB2";1;201312;80;"AA";"C1";15;"AA-C1-15"
"1159";592807;"OB2";1;201312;521;"AA";"C1";15;"AA-C1-15"
"1164";592847;"OB2";1;201312;166;"AA";"C1";15;"AA-C1-15"
"1188";593240;"OB1";1;201401;262;"AA";"C1";15;"AA-C1-15"
"1189";593249;"OB2";1;201401;489;"AA";"C1";15;"AA-C1-15"
"1200";593484;"OB1";1;201401;190;"AA";"C1";15;"AA-C1-15"
"1207";593577;"OB2";1;201402;415;"AA";"C1";15;"AA-C1-15"
"1252";594397;"OB1";1;201403;130;"AA";"C1";15;"AA-C1-15"
"1280";595121;"OB1";1;201404;261;"AA";"C1";15;"AA-C1-15"
"1305";595756;"OB2";1;201405;427;"AA";"C1";15;"AA-C1-15"
"1306";595760;"OB2";1;201405;142;"AA";"C1";15;"AA-C1-15"
"1309";595879;"OB1";1;201405;479;"AA";"C1";15;"AA-C1-15"
"1318";596038;"OB2";1;201405;483;"AA";"C1";15;"AA-C1-15"
"1330";596162;"OB1";1;201406;471;"AA";"C1";15;"AA-C1-15"
"1331";596163;"OB2";1;201406;332;"AA";"C1";15;"AA-C1-15"
"1332";596165;"OB1";1;201406;466;"AA";"C1";15;"AA-C1-15"
"1333";596166;"OB2";1;201406;348;"AA";"C1";15;"AA-C1-15"
"1334";596167;"OB1";1;201406;658;"AA";"C1";15;"AA-C1-15"
"1335";596170;"OB2";1;201406;410;"AA";"C1";15;"AA-C1-15"
"1336";596177;"OB1";1;201406;499;"AA";"C1";15;"AA-C1-15"
"1345";596267;"OB1";1;201406;105;"AA";"C1";15;"AA-C1-15"
"1359";596932;"OB1";1;201407;220;"AA";"C1";15;"AA-C1-15"
"1360";596934;"OB2";1;201407;148;"AA";"C1";15;"AA-C1-15"
"1381";597259;"OB1";1;201407;246;"AA";"C1";15;"AA-C1-15"
"1392";597421;"OB2";1;201407;333;"AA";"C1";15;"AA-C1-15"
"1393";597424;"OB2";1;201407;262;"AA";"C1";15;"AA-C1-15"
"1398";597531;"OB1";2;201408;472;"AA";"C1";15;"AA-C1-15"
"1410";597763;"OB1";1;201408;518;"AA";"C1";15;"AA-C1-15"
"1411";597764;"OB2";1;201408;290;"AA";"C1";15;"AA-C1-15"
"1413";597774;"OB1";1;201408;453;"AA";"C1";15;"AA-C1-15"
"1421";597857;"OB2";1;201408;482;"AA";"C1";15;"AA-C1-15"
"1422";597895;"OB2";1;201408;371;"AA";"C1";15;"AA-C1-15"
"1423";597897;"OB2";1;201408;240;"AA";"C1";15;"AA-C1-15"
"1426";597924;"OB1";1;201408;593;"AA";"C1";15;"AA-C1-15"
"1469";486998;"OB2";2;201310;413;"AA";"C1";15;"AA-C1-15"
"1470";487027;"OB1";1;201310;416;"AA";"C1";15;"AA-C1-15"
"1503";487770;"OB2";1;201311;577;"AA";"C1";15;"AA-C1-15"
"1509";487903;"OB1";1;201311;258;"AA";"C1";15;"AA-C1-15"
"1550";488871;"OB1";1;201312;202;"AA";"C1";15;"AA-C1-15"
"1555";488963;"OB1";1;201401;117;"AA";"C1";15;"AA-C1-15"
"1559";489038;"OB1";1;201401;518;"AA";"C1";15;"AA-C1-15"
"1561";489041;"OB2";1;201401;59;"AA";"C1";15;"AA-C1-15"
"1572";489237;"OB2";1;201401;349;"AA";"C1";15;"AA-C1-15"
"1573";489266;"OB2";1;201401;241;"AA";"C1";15;"AA-C1-15"
"1604";490113;"OB2";1;201402;589;"AA";"C1";15;"AA-C1-15"
"1621";490415;"OB1";1;201403;503;"AA";"C1";15;"AA-C1-15"
"1640";490938;"OB1";1;201403;275;"AA";"C1";15;"AA-C1-15"
"1670";491756;"OB2";1;201405;240;"AA";"C1";15;"AA-C1-15"
"1671";491758;"OB1";1;201405;49;"AA";"C1";15;"AA-C1-15"
"1676";492012;"OB2";1;201405;166;"AA";"C1";15;"AA-C1-15"
"1692";492413;"OB1";1;201406;135;"AA";"C1";15;"AA-C1-15"
"1694";492476;"OB1";1;201406;233;"AA";"C1";15;"AA-C1-15"
"1696";492507;"OB2";1;201406;260;"AA";"C1";15;"AA-C1-15"
"1697";492509;"OB2";1;201406;382;"AA";"C1";15;"AA-C1-15"
"1702";492579;"OB1";1;201406;633;"AA";"C1";15;"AA-C1-15"
"1703";492600;"OB2";1;201406;236;"AA";"C1";15;"AA-C1-15"
"1704";492602;"OB1";1;201406;361;"AA";"C1";15;"AA-C1-15"
"1741";493265;"OB1";1;201407;585;"AA";"C1";15;"AA-C1-15"
"1742";493270;"OB1";1;201407;471;"AA";"C1";15;"AA-C1-15"
"1749";493374;"OB1";1;201407;636;"AA";"C1";15;"AA-C1-15"
"1757";493516;"OB1";1;201408;215;"AA";"C1";15;"AA-C1-15"
"1758";493516;"OB1";2;201408;176;"AA";"C1";15;"AA-C1-15"
"1809";590586;"OB1";1;201309;344;"AA";"C1";15;"AA-C1-15"
"1811";590747;"OB1";1;201310;268;"AA";"C1";15;"AA-C1-15"
"1816";590803;"OB2";1;201310;120;"AA";"C1";15;"AA-C1-15"
"1828";591180;"OB1";1;201310;229;"AA";"C1";15;"AA-C1-15"
"1844";591618;"OB2";1;201311;512;"AA";"C1";15;"AA-C1-15"
"1849";591738;"OB2";1;201311;385;"AA";"C1";15;"AA-C1-15"
"1887";592485;"OB1";1;201312;140;"AA";"C1";15;"AA-C1-15"
"1892";592755;"OB1";1;201312;730;"AA";"C1";15;"AA-C1-15"
"1906";593255;"OB2";1;201401;196;"AA";"C1";15;"AA-C1-15"
"1937";593843;"OB2";1;201402;271;"AA";"C1";15;"AA-C1-15"
"1938";593847;"OB2";1;201402;535;"AA";"C1";15;"AA-C1-15"
"1973";594668;"OB2";1;201403;77;"AA";"C1";15;"AA-C1-15"
"1992";595109;"OB1";1;201404;527;"AA";"C1";15;"AA-C1-15"
"2019";595880;"OB1";1;201405;329;"AA";"C1";15;"AA-C1-15"
"2020";595881;"OB1";1;201405;389;"AA";"C1";15;"AA-C1-15"
"2022";595919;"OB1";1;201405;153;"AA";"C1";15;"AA-C1-15"
"2030";596122;"OB2";1;201406;85;"AA";"C1";15;"AA-C1-15"
"2031";596175;"OB2";1;201406;310;"AA";"C1";15;"AA-C1-15"
"2035";596205;"OB1";1;201406;131;"AA";"C1";15;"AA-C1-15"
"2039";596274;"OB1";1;201406;485;"AA";"C1";15;"AA-C1-15"
"2042";596367;"OB2";1;201406;366;"AA";"C1";15;"AA-C1-15"
"2065";596936;"OB1";1;201407;216;"AA";"C1";15;"AA-C1-15"
"2089";597529;"OB1";1;201408;338;"AA";"C1";15;"AA-C1-15"
"2090";597535;"OB2";1;201408;361;"AA";"C1";15;"AA-C1-15"
"2096";597629;"OB2";1;201408;471;"AA";"C1";15;"AA-C1-15"
"2102";597765;"OB2";1;201408;421;"AA";"C1";15;"AA-C1-15"
"2104";597858;"OB1";1;201408;479;"AA";"C1";15;"AA-C1-15"
"2107";597900;"OB2";1;201408;291;"AA";"C1";15;"AA-C1-15"
"2137";486611;"OB2";1;201309;230;"AA";"C1";15;"AA-C1-15"
"2138";486613;"OB2";1;201309;223;"AA";"C1";15;"AA-C1-15"
"2139";486615;"OB1";1;201309;169;"AA";"C1";15;"AA-C1-15"
"2141";486704;"OB1";1;201309;435;"AA";"C1";15;"AA-C1-15"
"2148";486767;"OB2";1;201309;504;"AA";"C1";15;"AA-C1-15"
"2149";486768;"OB1";1;201309;577;"AA";"C1";15;"AA-C1-15"
"2166";487331;"OB1";1;201310;67;"AA";"C1";15;"AA-C1-15"
"2167";487333;"OB2";1;201310;53;"AA";"C1";15;"AA-C1-15"
"2211";488816;"OB2";1;201312;310;"AA";"C1";15;"AA-C1-15"
"2233";489244;"OB1";1;201401;362;"AA";"C1";15;"AA-C1-15"
"2242";489497;"OB1";1;201401;565;"AA";"C1";15;"AA-C1-15"
"2255";489955;"OB2";1;201402;532;"AA";"C1";15;"AA-C1-15"
"2264";490116;"OB1";1;201402;254;"AA";"C1";15;"AA-C1-15"
"2280";490657;"OB2";1;201403;513;"AA";"C1";15;"AA-C1-15"
"2285";490757;"OB2";1;201403;497;"AA";"C1";15;"AA-C1-15"
"2286";490759;"OB1";1;201403;282;"AA";"C1";15;"AA-C1-15"
"2299";490997;"OB1";1;201403;129;"AA";"C1";15;"AA-C1-15"
"2316";491381;"OB1";1;201404;111;"AA";"C1";15;"AA-C1-15"
"2319";491411;"OB2";1;201404;609;"AA";"C1";15;"AA-C1-15"
"2328";491837;"OB2";1;201405;143;"AA";"C1";15;"AA-C1-15"
"2342";492331;"OB2";1;201405;682;"AA";"C1";15;"AA-C1-15"
"2344";492334;"OB1";1;201405;521;"AA";"C1";15;"AA-C1-15"
"2353";492474;"OB2";1;201406;161;"AA";"C1";15;"AA-C1-15"
"2359";492604;"OB1";1;201406;380;"AA";"C1";15;"AA-C1-15"
"2364";492648;"OB1";1;201406;63;"AA";"C1";15;"AA-C1-15"
"2390";493152;"OB2";1;201407;69;"AA";"C1";15;"AA-C1-15"
"2398";493264;"OB2";1;201407;500;"AA";"C1";15;"AA-C1-15"
"2399";493267;"OB1";1;201407;290;"AA";"C1";15;"AA-C1-15"
"2401";493356;"OB1";1;201407;412;"AA";"C1";15;"AA-C1-15"
"2405";493515;"OB1";1;201408;221;"AA";"C1";15;"AA-C1-15"
"2424";493940;"OB2";1;201408;189;"AA";"C1";15;"AA-C1-15"
"2426";493977;"OB1";1;201408;90;"AA";"C1";15;"AA-C1-15"
"2459";590826;"OB2";1;201310;325;"AA";"C1";15;"AA-C1-15"
"2502";592094;"OB2";1;201311;541;"AA";"C1";15;"AA-C1-15"
"2529";592893;"OB1";1;201312;126;"AA";"C1";15;"AA-C1-15"
"2555";593440;"OB2";1;201401;159;"AA";"C1";15;"AA-C1-15"
"2583";593920;"OB2";1;201402;190;"AA";"C1";15;"AA-C1-15"
"2603";594422;"OB2";1;201403;576;"AA";"C1";15;"AA-C1-15"
"2604";594443;"OB1";1;201403;607;"AA";"C1";15;"AA-C1-15"
"2612";594606;"OB2";1;201403;199;"AA";"C1";15;"AA-C1-15"
"2624";594840;"OB2";1;201404;247;"AA";"C1";15;"AA-C1-15"
"2625";594847;"OB2";1;201404;572;"AA";"C1";15;"AA-C1-15"
"2643";595108;"OB2";1;201404;658;"AA";"C1";15;"AA-C1-15"
"2654";595405;"OB2";1;201404;288;"AA";"C1";15;"AA-C1-15"
"2655";595482;"OB2";1;201405;247;"AA";"C1";15;"AA-C1-15"
"2661";595624;"OB2";1;201405;198;"AA";"C1";15;"AA-C1-15"
"2662";595626;"OB2";1;201405;30;"AA";"C1";15;"AA-C1-15"
"2674";596037;"OB1";1;201405;280;"AA";"C1";15;"AA-C1-15"
"2675";596043;"OB2";1;201405;430;"AA";"C1";15;"AA-C1-15"
"2695";596367;"OB2";2;201406;668;"AA";"C1";15;"AA-C1-15"
"2701";596476;"OB1";1;201406;352;"AA";"C1";15;"AA-C1-15"
"2745";597373;"OB2";1;201407;193;"AA";"C1";15;"AA-C1-15"
"2752";597534;"OB1";1;201408;635;"AA";"C1";15;"AA-C1-15"
"2758";597622;"OB1";1;201408;469;"AA";"C1";15;"AA-C1-15"
"2764";597761;"OB1";1;201408;661;"AA";"C1";15;"AA-C1-15"
"2773";597925;"OB2";1;201408;369;"AA";"C1";15;"AA-C1-15"
"2774";597926;"OB1";1;201408;183;"AA";"C1";15;"AA-C1-15"
"2792";486567;"OB2";1;201309;807;"AA";"C1";15;"AA-C1-15"
"2793";486571;"OB2";1;201309;458;"AA";"C1";15;"AA-C1-15"
"2794";486599;"OB1";1;201309;144;"AA";"C1";15;"AA-C1-15"
"2798";486687;"OB2";2;201309;106;"AA";"C1";15;"AA-C1-15"
"2800";486703;"OB2";1;201309;449;"AA";"C1";15;"AA-C1-15"
"2802";486788;"OB1";1;201309;612;"AA";"C1";15;"AA-C1-15"
"2814";486998;"OB1";1;201310;87;"AA";"C1";15;"AA-C1-15"
"2817";487025;"OB1";1;201310;609;"AA";"C1";15;"AA-C1-15"
"2818";487044;"OB1";1;201310;726;"AA";"C1";15;"AA-C1-15"
"2829";487371;"OB1";1;201310;182;"AA";"C1";15;"AA-C1-15"
"2836";487601;"OB1";1;201310;398;"AA";"C1";15;"AA-C1-15"
"2844";487827;"OB1";1;201311;411;"AA";"C1";15;"AA-C1-15"
"2845";487828;"OB1";1;201311;678;"AA";"C1";15;"AA-C1-15"
"2846";487830;"OB1";1;201311;288;"AA";"C1";15;"AA-C1-15"
"2890";488866;"OB2";1;201312;507;"AA";"C1";15;"AA-C1-15"
"2897";489037;"OB1";1;201401;702;"AA";"C1";15;"AA-C1-15"
"2898";489045;"OB2";1;201401;145;"AA";"C1";15;"AA-C1-15"
"2923";489372;"OB1";1;201401;151;"AA";"C1";15;"AA-C1-15"
"2928";489497;"OB2";2;201401;373;"AA";"C1";15;"AA-C1-15"
"2929";489510;"OB2";1;201401;524;"AA";"C1";15;"AA-C1-15"
"2938";489967;"OB1";1;201402;656;"AA";"C1";15;"AA-C1-15"
"2939";489969;"OB1";1;201402;674;"AA";"C1";15;"AA-C1-15"
"2944";490107;"OB1";1;201402;403;"AA";"C1";15;"AA-C1-15"
"2953";490203;"OB2";1;201402;240;"AA";"C1";15;"AA-C1-15"
"2956";490282;"OB2";1;201402;480;"AA";"C1";15;"AA-C1-15"
"2963";490420;"OB2";1;201403;281;"AA";"C1";15;"AA-C1-15"
"2978";490727;"OB2";1;201403;257;"AA";"C1";15;"AA-C1-15"
"2982";490760;"OB1";1;201403;94;"AA";"C1";15;"AA-C1-15"
"3004";491163;"OB1";1;201404;248;"AA";"C1";15;"AA-C1-15"
"3017";491384;"OB1";1;201404;295;"AA";"C1";15;"AA-C1-15"
"3019";491390;"OB1";1;201404;441;"AA";"C1";15;"AA-C1-15"
"3037";491809;"OB2";1;201405;620;"AA";"C1";15;"AA-C1-15"
"3038";491838;"OB2";1;201405;67;"AA";"C1";15;"AA-C1-15"
"3053";492009;"OB2";1;201405;541;"AA";"C1";15;"AA-C1-15"
"3054";492013;"OB1";1;201405;327;"AA";"C1";15;"AA-C1-15"
"3059";492150;"OB2";1;201405;326;"AA";"C1";15;"AA-C1-15"
"3077";492581;"OB2";1;201406;383;"AA";"C1";15;"AA-C1-15"
"3086";492726;"OB2";1;201406;772;"AA";"C1";15;"AA-C1-15"
"3089";492833;"OB2";1;201406;306;"AA";"C1";15;"AA-C1-15"
