"NUM_CORR_ACI","SIGLA_ACO","P_MIN","P_MAX","C_VIS","P_GUSA","SI_GUSA","cbs","pbs","cp1","pp1","CAL","CALCARIO","DOLCA","DOLCR","NEFE","CAO_INPUT","MGO_INPUT","NEFE_REAL","SUCATA_TOTAL","CARGA_LIQUIDA","PS_TA","sep1","TFS","TPAN"
"491630","BXCDAS015000140099",0.00,25.00,15.00,125.00,23.00,,,11.74,15.08,3076.00,575.00,1856.00,2148.00,360.00,4782.40,1181.67,0.00,25300.00,153330.00,1500.00,"***",,1602.00
"491631","KCCBAS007000120099",0.00,25.00,7.00,118.00,32.00,,,4.39,17.16,2843.00,577.00,133.00,5740.00,142.00,4925.15,1248.09,0.00,25700.00,153230.00,0.00,"***",,1658.00
"491632","AACHAA0120000360X9",0.00,25.00,12.00,105.00,37.00,,,8.33,13.03,4827.00,577.00,2800.00,2637.00,0.00,7026.44,1668.86,0.00,25500.00,152630.00,0.00,"***",,1633.00
"491633","AACHAA0120000360X9",0.00,25.00,12.00,116.00,47.00,,,12.00,9.47,7978.00,0.00,5351.00,603.00,0.00,10187.01,2273.27,0.00,37000.00,150530.00,0.00,"***",,
"491635","DVCEAS0140002100X9",0.00,25.00,14.00,114.00,51.00,9.62,16.45,10.92,10.96,4005.00,578.00,2733.00,1842.00,402.00,5968.03,1462.60,0.00,24900.00,150730.00,2300.00,"***",1669.00,
"491636","GWCDAA008000086099",0.00,25.00,8.00,117.00,50.00,9.72,15.89,,,6608.00,569.00,4218.00,2500.00,317.00,9313.72,2200.79,0.00,25900.00,153030.00,0.00,"***",1662.00,1616.00
"595338","GJCBAS013000100099",0.00,25.00,13.00,115.00,20.00,,,7.77,14.17,5122.00,0.00,5129.00,198.00,141.00,7290.72,1984.31,141.00,30800.00,157930.00,2100.00,"***",,1540.00
"595340","24JDAA000100010099",0.00,10.00,0.10,119.00,32.00,,,3.36,10.32,8607.00,0.00,5558.00,201.00,0.00,10738.68,2300.67,0.00,31200.00,158130.00,5500.00,"***",,1652.00
"595342","ILICAS0460000660X9",0.00,23.00,46.00,114.00,33.00,4.00,21.73,35.37,17.40,3980.00,508.00,967.00,4604.00,0.00,5969.36,1372.23,0.00,31200.00,153830.00,5100.00,"***",1659.00,1551.00
"595343","ILI1AS0460000660X9",0.00,23.00,46.00,112.00,37.00,,,33.84,12.83,5195.00,0.00,5273.00,0.00,240.00,7362.39,1999.84,240.00,39700.00,141830.00,0.00,"***",,
"595344","ILI1AS0460000660X9",0.00,23.00,46.00,107.00,40.00,7.71,16.65,37.97,17.04,4422.00,0.00,5783.00,0.00,262.00,6888.30,2129.49,262.00,40700.00,149630.00,0.00,"***",1672.00,1618.00
"595345","GBNHAS0450001260X9",0.00,22.00,45.00,107.00,39.00,,,27.92,12.32,7076.00,0.00,5469.00,203.00,243.00,9272.79,2195.11,243.00,38500.00,147430.00,7300.00,"***",,1544.00
"595346","24JDAA000100010099",0.00,10.00,0.10,102.00,32.00,,,2.46,8.91,5488.00,973.00,3149.00,3451.00,173.00,8299.07,1983.40,173.00,30400.00,157630.00,1500.00,"***",,1620.00
"595347","24JDAA000100010099",0.00,10.00,0.10,105.00,30.00,,,4.20,11.37,5934.00,976.00,3608.00,2301.00,169.00,8556.35,1950.32,169.00,30200.00,157530.00,2000.00,"***",,1638.00
"595349","32Z2AA000190056099",40.00,55.00,0.19,108.00,22.00,2.95,23.49,2.56,19.49,2568.00,512.00,3630.00,2299.00,0.00,5176.03,1765.72,0.00,31900.00,154130.00,4300.00,"***",1683.00,1648.00
"595352","DDCHAA0110000360X9",0.00,25.00,11.00,106.00,29.00,,,9.61,10.35,3637.00,521.00,4436.00,369.00,0.00,5925.22,1738.20,0.00,31000.00,152130.00,8000.00,"***",,1649.00
"595354","AACHAA0120000360X9",0.00,25.00,12.00,119.00,36.00,,,,,5779.00,0.00,5891.00,203.00,0.00,8269.14,2269.52,0.00,38000.00,150730.00,4800.00,"***",,1634.00
"595355","AACHAA0120000360X9",0.00,25.00,12.00,120.00,45.00,,,7.02,10.19,6967.00,0.00,6605.00,205.00,0.00,9717.36,2564.90,0.00,36600.00,150730.00,4900.00,"***",1647.00,
"595356","AACHAA0120000360X9",0.00,25.00,12.00,122.00,55.00,5.16,9.12,7.68,9.75,7792.00,0.00,7319.00,204.00,0.00,10827.00,2841.59,0.00,28200.00,150530.00,7100.00,"***",1665.00,1638.00
"595357","KCCBAS007000120099",0.00,25.00,7.00,114.00,34.00,,,,,2505.00,515.00,3105.00,760.00,359.00,4359.25,1312.45,359.00,25500.00,153030.00,1900.00,"***",1666.00,1637.00
"595358","AACHAA0120000360X9",0.00,25.00,12.00,107.00,26.00,,,10.35,15.80,3842.00,0.00,4828.00,183.00,0.00,5950.89,1818.28,0.00,36900.00,150630.00,4600.00,"***",,1654.00
"595359","GWCHAA008000086099",0.00,25.00,8.00,111.00,46.00,,,6.33,16.24,4068.00,0.00,6032.00,184.00,0.00,6739.32,2227.08,0.00,36500.00,151530.00,7600.00,"***",1676.00,1650.00
"595361","LICDAA010000096099",0.00,25.00,10.00,131.00,42.00,7.43,15.85,7.10,16.83,6714.00,509.00,4728.00,2862.00,361.00,9742.96,2436.55,361.00,25300.00,153330.00,2200.00,"***",1683.00,1639.00
"595362","MBA2AA000150010099",0.00,15.00,0.15,105.00,56.00,5.34,11.40,3.50,9.85,8809.00,0.00,6818.00,188.00,345.00,11527.05,2724.23,345.00,30700.00,158130.00,1900.00,"***",1676.00,1551.00
"491637","KHCEAA0160000360X9",0.00,25.00,16.00,116.00,51.00,,,9.10,13.07,8711.00,0.00,5440.00,0.00,202.00,10712.43,2230.75,0.00,24500.00,150130.00,1600.00,"***",1663.00,1594.00
"491639","24JDAA000100010099",0.00,10.00,0.10,117.00,57.00,,,3.82,5.41,6132.00,1032.00,4305.00,3635.00,0.00,9546.63,2433.15,0.00,31500.00,158030.00,7100.00,"***",,1591.00
"491640","24JDAA000100010099",0.00,10.00,0.10,115.00,39.00,,,3.59,9.07,6461.00,1029.00,2928.00,3930.00,228.00,9287.31,2048.14,0.00,30200.00,157930.00,2100.00,"***",,1648.00
"491641","DDC1AA0160000360X9",0.00,25.00,16.00,119.00,40.00,5.90,8.96,6.57,8.94,6558.00,566.00,3128.00,3771.00,0.00,9161.77,2067.22,0.00,30200.00,157530.00,0.00,"***",,1630.00
"491643","MBA2AA000150010099",0.00,15.00,0.15,104.00,23.00,,,2.19,9.87,4412.00,567.00,2603.00,2543.00,0.00,6509.31,1565.68,0.00,31600.00,158030.00,7600.00,"***",,1616.00
"491644","24JDAA000100010099",0.00,10.00,0.10,111.00,24.00,,,3.91,7.68,5895.00,1046.00,2719.00,2300.00,179.00,8132.23,1658.32,0.00,31000.00,158030.00,2200.00,"***",,1594.00
"491645","24JDAA000100010099",0.00,10.00,0.10,115.00,26.00,,,2.49,9.90,6756.00,1040.00,2206.00,4097.00,249.00,9276.37,1855.24,0.00,26600.00,157030.00,0.00,"***",1670.00,1613.00
"491646","MYCCAA010000136099",0.00,25.00,10.00,123.00,26.00,4.05,20.13,7.22,15.86,5388.00,573.00,2166.00,1545.00,122.00,6881.25,1290.93,0.00,25400.00,152530.00,2400.00,"***",1656.00,1592.00
"491647","24JDAA000100010099",0.00,10.00,0.10,100.00,17.00,,,2.46,13.26,4172.00,809.00,3736.00,333.00,199.00,6236.17,1541.87,0.00,30600.00,158200.00,1500.00,"***",,1639.00
"491648","24JDAA000100010099",0.00,10.00,0.10,114.00,29.00,,,2.56,12.40,4502.00,881.00,3721.00,339.00,185.00,6578.17,1558.10,0.00,30300.00,157500.00,2200.00,"***",,1641.00
"491649","24JDAA000100010099",0.00,10.00,0.10,107.00,28.00,,,2.21,16.24,4196.00,1037.00,4157.00,2080.00,176.00,7164.76,2007.86,0.00,30700.00,157530.00,2100.00,"***",,1666.00
"491650","24JDAA000100010099",0.00,10.00,0.10,120.00,27.00,,,,,5248.00,1034.00,3469.00,1824.00,329.00,7726.72,1787.19,0.00,30600.00,157530.00,0.00,"***",,1617.00
"491651","24JDAA000100010099",0.00,10.00,0.10,113.00,26.00,4.94,15.31,,,4648.00,1034.00,1051.00,5563.00,167.00,7241.95,1632.27,0.00,25800.00,164630.00,2900.00,"***",1684.00,
"491652","24JDAA000100010099",0.00,10.00,0.10,111.00,28.00,3.36,15.40,2.29,13.21,4331.00,1041.00,1019.00,5613.00,159.00,6952.20,1615.21,0.00,30900.00,157930.00,2900.00,"***",1693.00,1647.00
"491654","61CCAS015000220099",0.00,25.00,15.00,119.00,28.00,3.30,12.35,10.24,12.13,5579.00,0.00,4182.00,338.00,130.00,7307.37,1719.85,0.00,32000.00,152830.00,4500.00,"***",1663.00,1614.00
