"NUM_CORR_ACI","SIGLA_ACO","P_MIN","P_MAX","C_VIS","P_GUSA","SI_GUSA","cbs","pbs","cp1","pp1","CAL","CALCARIO","DOLCA","DOLCR","NEFE","CAO_INPUT","MGO_INPUT","NEFE_REAL","SUCATA_TOTAL","CARGA_LIQUIDA","PS_TA","sep1","TFS","TPAN"
"595433","RJZ1AS004000021099",25.00,50.00,4.00,124.00,38.00,3.26,21.67,3.20,30.94,2066.00,603.00,4718.00,2269.00,0.00,5272.47,2098.81,0.00,27200.00,159750.00,7600.00,"***",1693.00,1664.00
"491713","MBA2AA000150010099",0.00,15.00,0.15,106.00,39.00,,,2.14,7.79,5390.00,578.00,2238.00,4207.00,0.00,7798.93,1794.20,0.00,27900.00,161650.00,8200.00,"***",,1614.00
"491715","MBA2AA000150010099",0.00,15.00,0.15,122.00,28.00,2.88,11.09,2.23,10.03,5784.00,587.00,2523.00,3553.00,335.00,8091.37,1790.68,0.00,27600.00,162150.00,0.00,"***",,1633.00
"491716","MYCCAA010000160099",0.00,25.00,10.00,109.00,47.00,3.95,18.45,5.89,14.31,6042.00,575.00,2338.00,2436.00,406.00,7867.18,1540.87,0.00,24200.00,155250.00,2100.00,"***",1670.00,1588.00
"491717","MYCCAA010000160099",0.00,25.00,10.00,107.00,47.00,4.87,16.35,7.67,15.56,4189.00,581.00,706.00,5562.00,413.00,6395.47,1472.64,0.00,23700.00,154450.00,0.00,"***",1674.00,
"491718","MBA2AA000150010099",0.00,15.00,0.15,108.00,47.00,4.64,16.52,3.44,12.67,7731.00,578.00,2681.00,4305.00,0.00,10221.04,2075.08,0.00,27900.00,162050.00,8000.00,"***",1704.00,1637.00
"491720","MYCCAA010000160099",0.00,25.00,10.00,102.00,26.00,4.35,16.36,8.11,13.23,2030.00,2233.00,0.00,4990.00,335.00,4785.08,1111.35,0.00,23800.00,154450.00,2100.00,"***",,1620.00
"491721","MYCCAA010000136099",0.00,25.00,10.00,104.00,19.00,3.98,19.45,6.50,17.05,3286.00,1144.00,0.00,5012.00,142.00,5350.58,1123.66,0.00,24000.00,154350.00,0.00,"***",1664.00,1608.00
"491722","MYCCAA010000136099",0.00,25.00,10.00,104.00,24.00,4.07,14.26,6.67,12.50,4036.00,3046.00,0.00,5027.00,125.00,7118.15,1258.96,0.00,23400.00,154550.00,1600.00,"***",1669.00,1618.00
"491723","MYCCAA010000136099",0.00,25.00,10.00,105.00,25.00,3.75,16.74,6.37,15.24,2034.00,3085.00,0.00,5016.00,124.00,5274.50,1158.83,0.00,24400.00,154650.00,0.00,"***",1665.00,1617.00
"491724","24JDAA000100010099",0.00,10.00,0.10,104.00,18.00,4.33,19.15,3.29,8.67,3636.00,1045.00,3399.00,1090.00,171.00,5957.90,1551.92,0.00,26400.00,161750.00,1600.00,"***",1674.00,1593.00
"491725","24JDAA000100010099",0.00,10.00,0.10,119.00,30.00,,,2.08,10.26,4642.00,1035.00,2518.00,3566.00,158.00,7282.08,1756.67,0.00,27000.00,161850.00,2800.00,"***",,1592.00
"491726","DDC1AA0160000360X9",0.00,25.00,16.00,117.00,36.00,,,8.52,12.95,5248.00,584.00,4032.00,1224.00,0.00,7546.96,1842.48,0.00,25400.00,146850.00,4100.00,"***",,1660.00
"491727","DDC1AA0160000360X9",0.00,25.00,16.00,99.00,36.00,,,10.62,16.89,4341.00,577.00,3262.00,1731.00,0.00,6497.24,1633.94,0.00,25400.00,146750.00,8300.00,"***",1643.00,1606.00
"491728","DDC1AA0160000360X9",0.00,25.00,16.00,116.00,33.00,,,10.43,15.49,5551.00,575.00,4158.00,656.00,0.00,7696.75,1796.52,0.00,27600.00,146850.00,10300.00,"***",,1633.00
"491729","24JDAA000100010099",0.00,10.00,0.10,116.00,32.00,,,,,5616.00,1031.00,2637.00,3597.00,225.00,8253.01,1850.02,0.00,26500.00,161450.00,1500.00,"***",,1628.00
"491730","DDC1AA0160000360X9",0.00,25.00,16.00,106.00,52.00,10.44,14.42,13.19,14.68,6773.00,574.00,3100.00,3773.00,0.00,9353.42,2069.49,0.00,20200.00,162050.00,0.00,"***",1666.00,1627.00
"491731","DDC1AA0150001250X9",0.00,25.00,15.00,107.00,45.00,7.01,18.44,14.88,18.49,6122.00,575.00,2290.00,4522.00,326.00,8606.92,1904.51,0.00,21600.00,159750.00,1000.00,"***",1663.00,1616.00
"491733","TGCHAA008000086099",0.00,25.00,8.00,41.00,24.00,10.02,21.06,8.04,16.84,3715.00,583.00,2582.00,2540.00,0.00,5858.99,1524.16,0.00,27900.00,161750.00,6800.00,"***",1673.00,
"491734","FVZ1AA000150064099",20.00,35.00,0.15,89.00,29.00,,,3.31,14.04,2022.00,582.00,2001.00,3682.00,0.00,4381.92,1453.29,0.00,27700.00,161550.00,7300.00,"***",,1646.00
"491735","FVZ1AA000150064099",20.00,35.00,0.15,91.00,23.00,,,2.19,16.51,2528.00,570.00,737.00,6175.00,0.00,5061.75,1509.61,0.00,23300.00,161150.00,7100.00,"***",,1658.00
"491736","FVZ1AA000150064099",20.00,35.00,0.15,113.00,47.00,3.18,15.79,2.69,10.29,4759.00,575.00,2718.00,3920.00,0.00,7346.11,1869.24,0.00,27500.00,162150.00,8600.00,"***",1684.00,1630.00
"491737","FVZ1AA000150064099",20.00,35.00,0.15,100.00,20.00,2.90,16.89,2.56,12.75,5536.00,576.00,921.00,3564.00,324.00,7089.24,1251.05,0.00,24100.00,161570.00,3900.00,"***",1668.00,1609.00
"491739","WRCBAA010000150099",0.00,25.00,10.00,119.00,41.00,3.55,12.18,,,4024.00,0.00,3426.00,750.00,137.00,5634.30,1466.78,0.00,23700.00,154570.00,2100.00,"***",1687.00,1623.00
"595434","RJZ1AS004000021099",25.00,50.00,4.00,104.00,39.00,6.61,12.29,4.70,36.52,2011.00,506.00,3233.00,4973.00,0.00,5346.52,2087.88,0.00,27800.00,159650.00,8500.00,"***",1658.00,1617.00
"595436","24JDAA000100010099",0.00,10.00,0.10,105.00,45.00,8.03,11.89,5.27,10.90,5120.00,970.00,5091.00,1844.00,365.00,8357.00,2316.45,365.00,26800.00,161550.00,0.00,"***",1673.00,1614.00
"595440","MBA2AA000150010099",0.00,15.00,0.15,116.00,48.00,,,3.45,10.30,5416.00,503.00,1288.00,6644.00,298.00,8129.32,1916.91,298.00,23700.00,154650.00,2400.00,"***",,1521.00
"595442","24JDAA000100010099",0.00,10.00,0.10,111.00,36.00,,,,,4315.00,971.00,2020.00,6185.00,208.00,7567.36,2044.20,208.00,26800.00,161850.00,1700.00,"***",,1600.00
"595443","24JDAA000100010099",0.00,10.00,0.10,124.00,33.00,,,2.83,10.35,5872.00,0.00,5659.00,211.00,221.00,8246.91,2199.05,221.00,26900.00,161650.00,1800.00,"***",,1641.00
"595444","24JDAA000100010099",0.00,10.00,0.10,124.00,30.00,,,,,5410.00,0.00,5367.00,208.00,218.00,7676.10,2079.05,218.00,26800.00,161950.00,1300.00,"***",,1617.00
"595447","KHCEAA0160000360X9",0.00,25.00,16.00,107.00,18.00,3.75,16.16,10.53,16.36,3679.00,507.00,3172.00,2772.00,0.00,6142.71,1755.02,0.00,22900.00,148950.00,1600.00,"***",1687.00,1549.00
"595448","24JDAA000100010099",0.00,10.00,0.10,109.00,31.00,,,3.75,8.17,5439.00,971.00,4091.00,1613.00,187.00,8098.00,1960.87,187.00,26700.00,161650.00,2200.00,"***",1679.00,1612.00
"595450","DDC1AA0160000360X9",0.00,25.00,16.00,102.00,18.00,3.29,10.47,10.21,12.33,3704.00,0.00,4580.00,214.00,0.00,5713.74,1735.12,0.00,25300.00,147250.00,0.00,"***",1671.00,1602.00
"595451","DDC1AA0160000360X9",0.00,25.00,16.00,114.00,25.00,,,,,6328.00,0.00,4563.00,212.00,224.00,8145.24,1860.35,224.00,25600.00,159450.00,8100.00,"***",,1646.00
"595453","TGCHAA008000086099",0.00,25.00,8.00,109.00,35.00,5.36,12.92,6.97,12.05,3832.00,511.00,3292.00,3054.00,142.00,6437.90,1853.23,142.00,22000.00,161350.00,0.00,"***",1680.00,1540.00
"595454","TGCHAA008000086099",0.00,25.00,8.00,104.00,36.00,4.12,18.45,5.85,17.44,2954.00,506.00,4552.00,1136.00,0.00,5590.42,1879.64,0.00,27600.00,159550.00,8100.00,"***",1678.00,1643.00
"595455","FVZ1AA000150064099",20.00,35.00,0.15,106.00,36.00,,,2.07,17.36,2620.00,511.00,4479.00,1676.00,0.00,5425.76,1936.30,0.00,28200.00,160950.00,7400.00,"***",,1641.00
"595456","FVZ1AA000150064099",20.00,35.00,0.15,118.00,40.00,,,3.41,9.86,4263.00,507.00,5371.00,1846.00,0.00,7435.77,2343.21,0.00,27900.00,164950.00,6400.00,"***",,1635.00
"595457","FVZ1AA000150064099",20.00,35.00,0.15,112.00,34.00,4.03,19.02,3.23,16.12,2702.00,503.00,4018.00,2121.00,0.00,5423.11,1867.97,0.00,27600.00,160950.00,8000.00,"***",1691.00,1630.00
"595458","FVZ1AA000150064099",20.00,35.00,0.15,104.00,31.00,,,2.13,14.78,2316.00,514.00,3948.00,1981.00,0.00,4990.49,1800.92,0.00,28100.00,161000.00,8200.00,"***",,1657.00
"595459","FVZ1AA000150064099",20.00,35.00,0.15,116.00,38.00,3.55,15.75,2.82,13.77,3975.00,511.00,4426.00,3281.00,0.00,7190.12,2275.46,0.00,27600.00,162350.00,8400.00,"***",1682.00,1636.00
"595460","WTCBAA010000150099",0.00,25.00,10.00,108.00,29.00,5.77,17.22,6.15,16.85,7077.00,0.00,3199.00,216.00,375.00,8188.41,1448.40,375.00,24600.00,156480.00,0.00,"***",1691.00,1608.00
"491738","WTCBAA010000150099",0.00,25.00,10.00,97.00,20.00,5.09,18.19,7.16,17.23,2882.00,0.00,2490.00,346.00,373.00,3989.64,1028.08,0.00,23400.00,155880.00,0.00,"***",1674.00,1608.00
"491741","IOCBAS023000120099",0.00,25.00,23.00,110.00,19.00,5.39,12.76,11.72,11.47,3021.00,0.00,398.00,342.00,0.00,3113.43,343.95,0.00,0.00,357880.00,0.00,"***",1653.00,1594.00
"491742","GXCCAS018000145099",0.00,25.00,18.00,106.00,61.00,,,11.15,14.92,5068.00,578.00,3403.00,1800.00,420.00,7264.36,1729.29,0.00,24000.00,154680.00,1900.00,"***",,1595.00
"491743","JYCHAS0160001260X9",0.00,25.00,16.00,118.00,58.00,,,12.11,11.53,9185.00,0.00,5908.00,339.00,406.00,11489.76,2469.91,0.00,23500.00,154700.00,2100.00,"***",1678.00,1632.00
"491744","JYCHAS0160001260X9",0.00,25.00,16.00,111.00,58.00,,,12.10,11.63,7220.00,0.00,5258.00,335.00,364.00,9348.99,2156.44,0.00,26800.00,154680.00,5100.00,"***",,1604.00
"491745","JYCHAS0160001060X9",0.00,25.00,16.00,114.00,45.00,,,14.60,13.44,6326.00,0.00,4465.00,335.00,310.00,8136.93,1850.05,0.00,26000.00,154680.00,5200.00,"***",,1602.00
