NUM_CORR_ACI;SIGLA_ACO;COD_TPAO;CLS_DARDO;CONS_AL;P;P_MAX
593942;TGCDAA008000061099;2;sem dardo;685;22.75;25
594769;AAC3AA0040000210X9;1;com dardo;892;15.255;25
491435;RJZHAS012000120099;1;com dardo;320;37.655;50
491437;RJZHAS012000120099;1;com dardo;196;31.127;50
490973;MBA2AA000150010099;2;sem dardo;259;8.333;15
491256;LQC1AA006000066099;2;sem dardo;546;15.465;25
491403;AAC3AA0040000210X9;2;sem dardo;567;21.595;25
490307;24JDAA000100010099;2;sem dardo;586;9.215;10
492718;AACHAA0120000360X9;1;com dardo;375;21.333;25
595211;DMCEAS018000136099;2;sem dardo;383;18.175;25
491088;AAC3AA0040000210X9;1;com dardo;561;17.38;25
491247;MBA2AA000150010099;2;sem dardo;775;14.84;15
491316;DDC1AA0130001200X9;4;sem dardo;674;26.085;25
491638;24JDAA000100010099;1;com dardo;658;11.105;10
593229;VJQ1AA000150015099;1;com dardo;374;12.703;12
593768;LICDAA010000096099;2;sem dardo;924;21.57;25
594624;AACDAA0110001510X9;2;sem dardo;845;24.135;25
491395;MBA2AA000150010099;5;sem dardo;395;12.912;15
595286;JYCHAS0140001260X9;5;sem dardo;250;14.6;25
595180;24JDAA000100010099;2;sem dardo;228;12.145;10
594543;24JDAA000100010099;2;sem dardo;715;11.215;10
490808;24JDAA000100010099;1;com dardo;353;7.125;10
491248;MBA2AA000150010099;2;sem dardo;817;10.443;15
491415;VJQ1AA000150015099;1;com dardo;800;9.145;12
492696;FVZ1AA000150064099;1;com dardo;419;30.188;35
492697;FVZ1AA000150064099;2;sem dardo;440;29.019;35
593782;30Z2AA000200026099;1;com dardo;847;30.195;30
596294;DGC2AA003000021099;2;sem dardo;195;11.43;25
490348;24JDAA000100010099;1;com dardo;846;11.258;10
490631;24JDAA000100010099;1;com dardo;553;10.095;10
491177;24JDAA000100010099;2;sem dardo;332;7.22;10
491229;LQCDAA006000066099;2;sem dardo;581;20.993;25
490782;VJQ1AA000150015099;2;sem dardo;463;11.072;12
595468;JYCHAS0160001060X9;2;sem dardo;973;24.537;25
595149;VNBCAA012000180099;1;com dardo;386;14.06;20
491755;21Q1AA000100010099;2;sem dardo;329;9.258;12
491400;24JDAA000100010099;5;sem dardo;276;9.197;10
594455;24JDAA000100010099;5;sem dardo;956;14.012;10
595405;DGC2AA003000021099;2;sem dardo;380;13.757;25
492112;MBA2AA000150010099;2;sem dardo;421;6.95;15
490881;30Z2AA000200026099;2;sem dardo;435;33.825;30
491861;24JDAA000100010099;2;sem dardo;426;15.215;10
596179;TBCDAS0070002000X9;2;sem dardo;721;24.427;25
595571;GXCHAS016000145099;2;sem dardo;671;19.265;25
599899;ZICAAS018000145099;1;com dardo;607;15.785;25
595482;VQB2AA017000075099;2;sem dardo;630;15.232;20
494501;7PMAAS010000135099;2;sem dardo;386;14.485;18
494511;KHCBAA0090001460X9;3;sem dardo;844;19.805;25
494084;VJQ1AA000150015099;2;sem dardo;309;12.838;12
596102;AAC2AA0120000360X9;2;sem dardo;473;13.602;25
596128;DGC2AA003000021099;2;sem dardo;458;17.45;25
595258;AACHAA0120000360X9;1;com dardo;656;18.615;25
595341;MBA2AA000150010099;2;sem dardo;307;7.81;15
595622;7NNEAS015000100099;2;sem dardo;720;18.8;22
491880;7NNEAS015000100099;2;sem dardo;241;16.105;22
491206;AACDAA0110001510X9;6;sem dardo;1079;20.768;25
595490;MBA2AA000150010099;6;sem dardo;470;7.62;15
596085;AACHAA0120000360X9;2;sem dardo;431;14.758;25
492375;AACHAA0120000360X9;1;com dardo;1090;14.32;25
492538;AAC3AA0040000210X9;1;com dardo;615;17.483;25
593397;FVZ1AA000150064099;6;sem dardo;569;26.995;35
595165;YUCBAA007000153099;1;com dardo;620;12.735;25
491520;MBA2AA000150010099;2;sem dardo;315;9.937;15
491524;MBA2AA000150010099;2;sem dardo;524;8.98;15
491615;MBA2AA000150010099;2;sem dardo;494;7.205;15
491798;AACDAA0110001510X9;2;sem dardo;636;13.69;25
597933;AAC3AA0040000210X9;2;sem dardo;381;22.168;25
595398;DDC1AA0160000360X9;4;sem dardo;321;11.86;25
595399;DDC1AA0160000360X9;2;sem dardo;462;22.55;25
595661;24JDAA000100010099;2;sem dardo;868;15.39;10
492988;DDCHAA0090000360X9;2;sem dardo;370;14.26;25
490977;MBA2AA000150010099;2;sem dardo;372;11.45;15
491514;AACDAA0110001510X9;6;sem dardo;1035;17.08;25
491686;DGC2AA003000021099;1;com dardo;402;10.05;25
593802;JYCHAS0220001010X9;1;com dardo;831;11.583;25
594781;FVZ1AA000150064099;1;com dardo;593;29.615;35
595537;VJQ1AA000150015099;2;sem dardo;301;10.677;12
492004;JYCHAS0140001260X9;1;com dardo;438;20.54;25
492019;JYCHAS0140000660X9;1;com dardo;179;14.275;25
593612;24JDAA000100010099;1;com dardo;808;13.848;10
595440;MBA2AA000150010099;2;sem dardo;816;13.045;15
596867;RJZ1AS010000040099;1;com dardo;294;41.297;50
595703;MBA2AA000150010099;6;sem dardo;339;10.548;15
595772;ABC1AS0130001060X9;1;com dardo;235;19.023;25
595778;DYC1AS0160000560X9;1;com dardo;103;21.415;25
595348;MBA2AA000150010099;2;sem dardo;400;10.618;15
594553;30Z2AA000200026099;2;sem dardo;576;25.017;30
595414;24JDAA000100010099;2;sem dardo;521;11.23;10
492070;DDC1AA0120000860X9;2;sem dardo;368;14.725;25
